"gene","beta_T","p_T","beta_C","p_C","r_grade_T","r_grade_C","p_T_BH","qc_ok","prognostic_T","replicated","signflip"
"MT-ND1",-0.390065054370157,3.51744204376241e-16,-0.168614131025224,0.00802269758168018,-0.655030724162458,-0.261921666545646,7.88664135372738e-16,TRUE,TRUE,TRUE,FALSE
"MTATP6P1",-0.3760060507711,2.66264797391112e-15,-0.090091873547066,0.187508086341074,-0.650235143252303,-0.173869840088099,5.34668267853638e-15,TRUE,TRUE,FALSE,FALSE
"MT-ND4",-0.399496569908335,3.57175929411312e-17,-0.164222651541788,0.0110276388085259,-0.714349381901723,-0.234046751052128,9.1583571643926e-17,TRUE,TRUE,TRUE,FALSE
"MT-ND3",-0.413557672674672,1.85292301058124e-18,-0.127000967588592,0.0482746800998709,-0.706287282159908,-0.234667507209063,5.75441928751938e-18,TRUE,TRUE,TRUE,FALSE
"MT-ND4L",-0.37656841036194,2.57842670432929e-15,-0.0719693093774715,0.303069969012705,-0.594977358966034,-0.221194633848799,5.24070468359612e-15,TRUE,TRUE,FALSE,FALSE
"LTF",0.42715143378214,5.03357315910972e-18,0.416244997850384,1.92609485273639e-11,0.597408289849283,0.39714045430439,1.44642906870969e-17,TRUE,TRUE,TRUE,FALSE
"MTND2P28",-0.376774585987139,3.61370548477348e-14,-0.0854777901356191,0.211311629784221,-0.64486804298003,-0.142456542909638,6.84413917570735e-14,TRUE,TRUE,FALSE,FALSE
"MT-CYB",-0.387912470069729,2.9513027790942e-16,-0.213293465055345,0.000679208545174571,-0.665722625223862,-0.169406817915002,6.73813419884521e-16,TRUE,TRUE,TRUE,FALSE
"MT-ND5",-0.389749792873698,2.99036136021172e-16,-0.205458524108157,0.000913318238234355,-0.676619280822508,-0.144724603634877,6.796275818663e-16,TRUE,TRUE,TRUE,FALSE
"SFRP2",-0.585342741914111,2.62540747795867e-17,-0.487570958455629,1.59129461264859e-09,-0.635836958968837,-0.42650788037415,6.90896704725965e-17,TRUE,TRUE,TRUE,FALSE
"MTND4P12",-0.308152347347665,3.14190471758475e-08,-0.241239189161096,0.0164636110496075,-0.501687823827591,-0.0723118018103638,4.36375655220104e-08,FALSE,TRUE,TRUE,FALSE
"SMOC1",-0.584599837239638,4.99950473677906e-26,-0.50156663059625,2.49116920624601e-13,-0.658714453833054,-0.387578711236744,6.40962145740905e-25,TRUE,TRUE,TRUE,FALSE
"RN7SL471P",0.328086045706954,2.47245060783725e-13,-0.0831614097072146,0.25788711982944,0.351048160890543,-0.0644610929008308,4.43091506780869e-13,FALSE,TRUE,FALSE,FALSE
"MT-CO2",-0.414402651945746,2.90820755893692e-18,-0.143069518994095,0.0267531860083009,-0.673212252686114,-0.19205381733114,8.6553796396932e-18,TRUE,TRUE,TRUE,FALSE
"POSTN",0.515582309874816,4.49138967953251e-24,0.313266357736191,3.46582279271967e-09,0.627652317015144,0.361634231265155,3.25463020255979e-23,TRUE,TRUE,TRUE,FALSE
"NRGN",-0.31848962088727,3.9601803112565e-08,-0.331855845688791,3.32082593312372e-06,-0.422526244243204,-0.156475479415047,5.4850142815187e-08,TRUE,TRUE,TRUE,FALSE
"SNORD3A",0.31975149541486,8.90450358090262e-11,0.07259826693288,0.280066437168146,0.471775978155961,0.0727947064973558,1.4270037789908e-10,FALSE,TRUE,FALSE,FALSE
"SLC17A7",-0.356523189874649,4.97250233296196e-09,-0.38513114005065,3.3928224997311e-07,-0.417755214422153,-0.269106957794225,7.16498895239476e-09,TRUE,TRUE,TRUE,FALSE
"SAA1",0.427446133839456,2.79881390521805e-20,0.256455091627642,1.73840803337449e-05,0.659584086593835,0.383946377741118,1.06824958214429e-19,TRUE,TRUE,TRUE,FALSE
"COL3A1",0.52384895925602,1.85077635630362e-22,0.427872742166035,9.57909293702195e-14,0.695083858769144,0.501731458772717,9.44273651175318e-22,TRUE,TRUE,TRUE,FALSE
"NEFL",-0.215609415070854,0.000187010018342155,-0.288481800435342,0.000100008489673009,-0.262323482729208,-0.231714390543632,0.000222630974216851,TRUE,TRUE,TRUE,FALSE
"GPR17",-0.466889783920695,3.42724498411923e-17,-0.394278797724664,4.43567306619054e-08,-0.505653227218732,-0.282155843389871,8.84536119512517e-17,TRUE,TRUE,TRUE,FALSE
"INA",-0.636779437424045,5.36057406126869e-26,-0.541030084114336,1.02292655476938e-13,-0.606610239204131,-0.370901527279186,6.70071757658586e-25,TRUE,TRUE,TRUE,FALSE
"IGFBP2",0.82307233542406,6.55168185365536e-36,0.61934959873516,3.91564169032094e-19,0.718580192296768,0.528337166325876,3.27584092682768e-33,TRUE,TRUE,TRUE,FALSE
"ETNPPL",-0.550169122613191,5.72410052083317e-22,-0.500481415776964,7.09285856513315e-12,-0.662824649543901,-0.457866257009503,2.67481332749213e-21,TRUE,TRUE,TRUE,FALSE
"NSG2",-0.540172900788354,4.07016515479948e-22,-0.555401144510075,1.02934064854096e-16,-0.601471572115193,-0.410578227264542,1.95681017057667e-21,TRUE,TRUE,TRUE,FALSE
"DLL3",-0.562150369396184,2.12598939708328e-25,-0.363337540913371,6.01532349192711e-08,-0.562646102360571,-0.366736050392145,2.36221044120364e-24,TRUE,TRUE,TRUE,FALSE
"STMN2",-0.234757882310881,2.33740584668365e-05,-0.19509007899356,0.00465697900559525,-0.284965910633072,-0.151699188868969,2.94383607894666e-05,TRUE,TRUE,TRUE,FALSE
"DDX3Y",0.10356423804883,0.0576317376703458,0.035565889342944,0.611585099523627,0.054734868380543,-0.0373813161592227,0.0613103592237721,FALSE,FALSE,FALSE,FALSE
"MAG",-0.139895767083305,0.00887241219908519,-0.0849102022156453,0.240697873867945,-0.372916807004413,-0.195594562188165,0.00974990351547824,TRUE,TRUE,FALSE,FALSE
"CHI3L2",0.525797179546759,1.86554989136336e-20,0.372547919563987,2.2139673193525e-08,0.572493239091729,0.373132464798677,7.34468461166677e-20,TRUE,TRUE,TRUE,FALSE
"TIMP1",0.765856406176835,7.06790154806454e-35,0.363541374393838,1.26080076706932e-07,0.67793558006142,0.385848330980336,1.76697538701614e-32,TRUE,TRUE,TRUE,FALSE
"IGKC",0.166854912443285,0.000789572342484984,0.138036799346497,0.0346572434624254,0.21408053487896,0.194941351269251,0.000915977195458218,TRUE,TRUE,TRUE,FALSE
"PDPN",0.716278858086054,1.92516346394297e-31,0.626077351904196,2.77398288143696e-20,0.624983407732613,0.421333770965475,1.27132199865703e-29,TRUE,TRUE,TRUE,FALSE
"NNMT",0.607827717811591,3.21111437788584e-30,0.381700345003865,5.16660951233997e-09,0.673685267298787,0.418548358579571,1.00347324308932e-28,TRUE,TRUE,TRUE,FALSE
"VSNL1",-0.258416614622838,1.37439668472007e-05,-0.338447971501923,5.87376680335874e-06,-0.315311222104861,-0.250712196131797,1.73974263888617e-05,TRUE,TRUE,TRUE,FALSE
"CPLX2",-0.492176283705034,1.01629186989101e-16,-0.613707862886226,1.91026355913688e-17,-0.520537254170658,-0.37813248070889,2.43132026289716e-16,TRUE,TRUE,TRUE,FALSE
"MEOX2",0.541375997751884,1.68358028522834e-22,0.481431947961196,1.55227336045657e-17,0.549124709688519,0.310436066037798,8.6782488929296e-22,TRUE,TRUE,TRUE,FALSE
"FCGBP",0.587668298797738,2.83317543525779e-23,0.439817543646132,2.94767512916111e-12,0.671762481741496,0.48553948842681,1.72754599710841e-22,TRUE,TRUE,TRUE,FALSE
"SHD",-0.596661689674033,5.55090842543939e-28,-0.411776556327439,1.93728681368491e-09,-0.574375817039565,-0.29398890429816,9.91233647399891e-27,TRUE,TRUE,TRUE,FALSE
"AC062021.1",-0.757427092327743,3.4541274671422e-24,-0.926824044972761,1.88617363499345e-20,-0.607941633163165,-0.452652647676864,2.5397996081928e-23,TRUE,TRUE,TRUE,FALSE
"MBP",-0.174569448045353,0.00144179376696521,-0.06358597412798,0.368546862587751,-0.432560889753995,-0.251785895653044,0.00164964961895333,TRUE,TRUE,FALSE,FALSE
"NEFM",-0.434231019705574,6.49122378279837e-11,-0.307503519988188,4.71997569735899e-05,-0.490558974138735,-0.285564544770234,1.05377009461012e-10,TRUE,TRUE,TRUE,FALSE
"SERPINE1",0.651310948203866,9.98457223065234e-28,0.452654237303858,7.38941409973049e-14,0.635695080487839,0.465764280467566,1.61041487591167e-26,TRUE,TRUE,TRUE,FALSE
"COL1A1",0.429860914277034,9.8854711561797e-17,0.393447301325688,1.64616780001861e-12,0.561073955916016,0.449495234794926,2.37631518177397e-16,TRUE,TRUE,TRUE,FALSE
"SNCB",-0.469572297581275,1.25910121417988e-15,-0.502474514191271,1.41997594299749e-11,-0.502003312162806,-0.29520895348059,2.6547891191818e-15,TRUE,TRUE,TRUE,FALSE
