"setting","anchor","rep","arm","n_disc","n_repl","n_prog","replic_rate","auc_anchor_product","auc_anchor_absdiff","auc_level_concord","auc_range_concord","auc_coexpr_preserv","auc_effsize"
"glioma: TCGA->array-301","grade",3,"real",487,248,1679,0.849910661107802,0.942128007474889,0.784855007174559,0.42763984827755,0.677778890112457,0.931407882003537,0.719833483498515
"glioma: TCGA->array-301","grade",3,"null_ratematched",487,248,1679,0.849910661107802,0.894297616266782,0.585563564365246,0.472853472152701,0.421477514154459,0.817410262399751,0.878727711593864
"glioma: TCGA->array-301","grade",4,"null",487,248,1708,0.877634660421546,0.867835335199543,0.628948804785327,0.470588047534082,0.485925226067777,0.755821265213492,0.8849759488782
"glioma: TCGA->array-301","grade",4,"real",487,248,1708,0.859484777517564,0.932359786557675,0.765068687556767,0.441286330608538,0.682092983651226,0.922919504995459,0.722275204359673
"glioma: TCGA->array-301","grade",4,"null_ratematched",487,248,1708,0.859484777517564,0.870688578564941,0.62738987284287,0.452633969118983,0.486526453224342,0.766192665758402,0.88600136239782
"glioma: TCGA->array-301","grade",5,"null",487,248,1687,0.893894487255483,0.879328868011203,0.590289406220826,0.589730006075604,0.54392587762844,0.726990501311441,0.881481261947453
"glioma: TCGA->array-301","grade",5,"real",487,248,1687,0.860699466508595,0.932586014887756,0.773313404841451,0.414289900943673,0.683374362581326,0.927943848543462,0.734394232459996
"glioma: TCGA->array-301","grade",5,"null_ratematched",487,248,1687,0.860699466508595,0.870640642400797,0.579400386847195,0.609205204853174,0.545976203036164,0.706037160776039,0.86891155266397
"glioma: TCGA->array-301","grade",6,"null",487,248,1752,0.779109589041096,0.877704896309548,0.60856025972305,0.504076629658025,0.622928320602739,0.771557297138692,0.847461926531694
"glioma: TCGA->array-301","grade",6,"real",487,248,1752,0.841324200913242,0.935215192838945,0.747413195630741,0.440078873129448,0.654044200189374,0.929712132600568,0.743389006569507
"glioma: TCGA->array-301","grade",6,"null_ratematched",487,248,1752,0.841324200913242,0.894150893667698,0.602915767792821,0.511757757972726,0.614429487617504,0.78556367931435,0.872670655876927
"glioma: TCGA->array-301","grade",7,"null",487,248,1671,0.906642728904847,0.901083185241601,0.675602944909876,0.576652280612677,0.511170347804011,0.80970635525091,0.896843530506897
"glioma: TCGA->array-301","grade",7,"real",487,248,1671,0.850987432675045,0.94101864560916,0.77756878427917,0.429507057766933,0.671998825117629,0.934909822129587,0.703901400256441
"glioma: TCGA->array-301","grade",7,"null_ratematched",487,248,1671,0.850987432675045,0.89100989047611,0.67117414806907,0.579084269567722,0.500081902857562,0.768330706793418,0.871675167618434
"glioma: TCGA->array-301","grade",8,"null",487,248,1682,0.910225921521998,0.906826253022524,0.608717844459536,0.515154792132571,0.523126900567088,0.872126169538154,0.922108650797427
"glioma: TCGA->array-301","grade",8,"real",487,248,1682,0.859690844233056,0.934026068406123,0.775016409967883,0.42318669854889,0.683012166819045,0.9316700658743,0.740590641629744
"glioma: TCGA->array-301","grade",8,"null_ratematched",487,248,1682,0.859690844233056,0.895893405537192,0.566014956513585,0.503926670886373,0.481787866000891,0.844767564526338,0.912672597697916
"breast: BRCA->METABRIC","ER",2,"null",311,311,NA,NA,0.887096774193548,1,0.354838709677419,0.17741935483871,0.451612903225806,0.161290322580645
"breast: BRCA->METABRIC","ER",2,"real",311,311,NA,NA,0.879545454545455,0.565909090909091,0.384090909090909,0.520454545454546,0.536363636363636,0.613636363636364
"breast: BRCA->METABRIC","ER",2,"null_ratematched",311,311,NA,NA,NA,NA,NA,NA,NA,NA
"breast: BRCA->METABRIC","ER",6,"null",311,311,NA,NA,0.634146341463415,0.504065040650406,0.48780487804878,0.504065040650406,0.650406504065041,0.707317073170732
"breast: BRCA->METABRIC","ER",6,"real",311,311,NA,NA,0.930232558139535,0.790697674418605,0.627906976744186,0.488372093023256,0.534883720930233,0.72093023255814
"breast: BRCA->METABRIC","ER",6,"null_ratematched",311,311,NA,NA,NA,NA,NA,NA,NA,NA
"breast: BRCA->METABRIC","ER",8,"null",311,311,NA,NA,0.695652173913043,0.710144927536232,0.608695652173913,0.811594202898551,0.840579710144927,0.826086956521739
"breast: BRCA->METABRIC","ER",8,"real",311,311,NA,NA,0.330882352941176,0.272058823529412,0.845588235294118,0.536764705882353,0.360294117647059,0.176470588235294
"breast: BRCA->METABRIC","ER",8,"null_ratematched",311,311,NA,NA,NA,NA,NA,NA,NA,NA
"breast: METABRIC->BRCA","ER",1,"null",1066,622,375,0.405333333333333,0.643261741798442,0.619719140901581,0.448548501298088,0.61709346235544,0.612373141373613,0.59971678074109
"breast: METABRIC->BRCA","ER",1,"real",1066,622,375,0.16,0.584973544973545,0.398730158730159,0.485449735449735,0.412698412698413,0.475026455026455,0.574497354497355
"breast: METABRIC->BRCA","ER",1,"null_ratematched",1066,622,375,0.16,0.657089947089947,0.624497354497355,0.363968253968254,0.575291005291005,0.644126984126984,0.624444444444444
"breast: METABRIC->BRCA","ER",2,"null",1066,622,125,0.824,0.816416593115622,0.537952338923213,0.408208296557811,0.532656663724625,0.796999117387467,0.583406884377758
"breast: METABRIC->BRCA","ER",2,"real",1066,622,125,0.152,0.611221449851043,0.498510427010924,0.461271102284012,0.346573982125124,0.560575968222443,0.526315789473684
"breast: METABRIC->BRCA","ER",2,"null_ratematched",1066,622,125,0.152,0.820754716981132,0.427507447864945,0.390764647467726,0.541708043694141,0.789970208540218,0.657894736842105
"breast: METABRIC->BRCA","ER",3,"null",1066,622,296,0.554054054054054,0.729028085735403,0.417729120473023,0.420131189948263,0.567673688100517,0.706069844789357,0.64929785661493
"breast: METABRIC->BRCA","ER",3,"real",1066,622,296,0.158783783783784,0.567375886524823,0.383064171579937,0.400068358540545,0.432538665299496,0.494915833546954,0.587456207809963
